stadt,stadt_key,land,mg_l_caco3,dH,zone_min_dH,zone_max_dH,calcium_mg_l,magnesium_mg_l,nitrat_mg_l,natrium_mg_l,ph,karbonathaerte_mg_l_caco3,herkunft,band_international,stand,quelle,quelle_url,kh_min_dH,kh_max_dH,kh_berechnet_min_dH,kh_berechnet_max_dH,kh_stand,kh_quelle_url
Göttingen,Göttingen,DE,,,6.6,7.3,34.9,7.36,9.3,6.2,7.6,87.0,reservoir;long_distance;groundwater,varies by supply zone,2025,Stadtwerke Göttingen,https://www.stadtwerke-goettingen.de/produkte/trinkwasser/trinkwasserqualitaet/,4.9,4.9,,,2025,https://www.stadtwerke-goettingen.de/produkte/trinkwasser/trinkwasserqualitaet/
Hagen,Hagen,DE,,,4.2,7.2,,,,,,108.9,river_bank;reservoir,varies by supply zone,2025,Mark-E (ENERVIE),https://a.storyblok.com/f/320707/x/21b19e87e2/trinkwasseranalyse-jahresmittelwerte-wasserwerk-hengstey-2025.pdf,6.1,6.1,,,2026,https://a.storyblok.com/f/320707/x/21b19e87e2/trinkwasseranalyse-jahresmittelwerte-wasserwerk-hengstey-2025.pdf
Halle (Saale),Halle (Saale),DE,75.5,4.2,3.2,4.8,24.22,3.28,8.78,7.67,8.41,46.2,reservoir;long_distance,moderately hard,2026,Hallesche Wasser und Stadtwirtschaft (HWS),https://hws-halle.de/produkte-dienstleistungen/trink-abwasser/trinkwasser/qualitaet,2.3,2.9,,,2026,https://hws-halle.de/sixcms/media.php/236/2025_Mittelwertanalyse.pdf
Hamburg,Hamburg,DE,,,5.1,18.3,,,,,,,,varies by supply zone,2025,HAMBURG WASSER,https://www.hamburgwasser.de/fileadmin/Redakteur/Downloads/Labor/Informationen-ueber-die-Beschaffenheit-des-Trinkwassers.pdf,4.5,13.4,,,2025,https://www.hamburgwasser.de/wasser/detailanalysen-wasserwerke/stellingen
Hamm,Hamm,DE,,,7.2,8.3,,,,,,,river_bank,varies by supply zone,2025,Energie- und Wasserversorgung Hamm (EWV),https://www.stadtwerke-hamm.de/fileadmin/user-storage/EWV/Wasser/Jahrestrinkwasseranalyse_2025.pdf,5.7,6.5,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Hannover,Hanover,DE,214.2,12.0,8.6,13.0,76.0,5.8,,,7.8,114.2,,very hard,2025,enercity,https://www.enercity.de/assets/cms/enercity-de/Privatkunden/Produkte/Wasser/Downloads/Qualitaet/Trinkwasseranalyse-enercity.pdf,5.9,8.0,,,2025,https://www.enercity.de/assets/cms/enercity-de/Privatkunden/Produkte/Wasser/Downloads/Qualitaet/Trinkwasseranalyse-enercity.pdf
Heidelberg,Heidelberg,DE,,,2.7,21.1,,,,,,,groundwater,varies by supply zone,2026,Stadtwerke Heidelberg Netze,https://www.swhd.de/de/Hauptnavigation/Privatkunden/Wasser/Trinkwasser-in-Heidelberg_344228.html,1.3,18.2,,,2026,https://www.swhd.de/de/Hauptnavigation/Privatkunden/Wasser/Wasseranalyse/Hartwasser-noerdlich-des-Neckars.pdf
Heilbronn,Heilbronn,DE,,,9.0,18.0,,,,,8.0,,,varies by supply zone,2025,Stadtwerke Heilbronn,https://www.stadtwerke-heilbronn.de/swh/wasserversorgung/wasserhaerte.php,7.3,11.5,,,2025,https://www.stadtwerke-heilbronn.de/swh/wasserversorgung/wasserhaerte.php
Herne,Herne,DE,,,7.3,11.3,,,,,,,river_bank;groundwater,varies by supply zone,2025,Stadtwerke Herne,https://www.stadtwerke-herne.de/privatkunden/wasser/trinkwasseranalyse,5.5,5.5,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Hildesheim,Hildesheim,DE,,,1.8,3.0,,,,,9.12,,reservoir,varies by supply zone,2025,EVI Energieversorgung Hildesheim,https://www.evi-hildesheim.de/evi/Produkte-fuer-Privatkunden/Wasser/Trinkwasseranalyse/,1.2,2.0,,,2025,https://www.evi-hildesheim.de/evi/Produkte-fuer-Privatkunden/Wasser/Trinkwasseranalyse/
